Position,Context,Actual_Token,Actual_Probability,Surprisal_Bits,Rank_in_Top10,Top1_Token,Top1_Prob,Top2_Token,Top2_Prob,Top3_Token,Top3_Prob,Top4_Token,Top4_Prob,Top5_Token,Top5_Prob,Top6_Token,Top6_Prob,Top7_Token,Top7_Prob,Top8_Token,Top8_Prob,Top9_Token,Top9_Prob,Top10_Token,Top10_Prob
0,function,' calculate',0.000008,16.855,not_in_top10,'.',0.085279,"','",0.049542,'\n',0.036412,' of',0.031054,' and',0.023348,' to',0.022713,' is',0.017234,' in',0.015673,' (',0.015037,'-',0.013603
1,function calculate,'F',0.003359,8.218,not_in_top10,'_',0.133934,'(',0.058886,' (',0.046874,'()',0.022687,'.',0.014936,'\n',0.010081,'Value',0.008202,' =',0.007133,' {',0.006520,'The',0.006053
2,function calculateF,'ib',0.000841,10.216,not_in_top10,'unc',0.254607,'n',0.061331,'requency',0.058219,'raction',0.032905,'oo',0.026923,'atal',0.019469,'ee',0.016352,'inger',0.013782,'ully',0.011802,'acts',0.010117
3,function calculateFib,'on',0.126089,2.987,4,'ers',0.188382,'ration',0.156858,'re',0.145223,'on',0.126089,'s',0.039350,'ro',0.032008,'res',0.012192,'bage',0.010746,'ron',0.010183,':',0.007783
4,function calculateFibon,'acci',0.995811,0.006,1,'acci',0.995811,'fig',0.000367,'cell',0.000224,'ator',0.000169,'_',0.000105,'aut',0.000097,'umber',0.000082,'am',0.000075,'nect',0.000061,'ix',0.000054
5,function calculateFibonacci,'(',0.320355,1.642,1,'(',0.320355,'()',0.157956,' (',0.111729,'\n',0.017710,' ()',0.014127,'_',0.014002,' =',0.011562,'();',0.007759,'((',0.006151,'.',0.005015
6,function calculateFibonacci(,'n',0.027441,5.188,3,'f',0.046758,'x',0.032641,'n',0.027441,'int',0.018354,'F',0.017626,'function',0.017446,'number',0.015581,'a',0.011545,'array',0.011336,'float',0.011012
7,function calculateFibonacci(n,')',0.357286,1.485,1,')',0.357286,"','",0.232028,'):',0.021243,'_',0.019533,'){',0.016859,');',0.015183,'=',0.012935,'-',0.012301,' =',0.011181,' )',0.008943
8,function calculateFibonacci(n),' {',0.102916,3.280,2,'\n',0.155491,' {',0.102916,' return',0.055858,' returns',0.030774,' if',0.027153,' #',0.022647,' for',0.019638,' //',0.016210,' Returns',0.013360,' =',0.010811
9,function calculateFibonacci(n) {,'\n',0.083340,3.585,2,' return',0.467220,'\n',0.083340,' if',0.050919,' //',0.035824,' var',0.033618,' $',0.023551,' for',0.022301,' int',0.017979,' this',0.009619,' const',0.008636
