Chunk_ID,Text_Chunk,Predicted_Token,Bits_Per_Token,Bits_Per_Char,Top_Alternative_1,Top_Alternative_2,Top_Alternative_3,Method
0,'KL divergence measures how well a distri...','...approximates',14.000,4.000,'','','',real_logprobs_hf_inference
1,'s fitted by a model distribution q.\n\nHer...','It seems like',14.000,4.000,'','','',real_logprobs_hf_inference
2,' divergence formula for two discrete dis...',"""I assume you're""",14.000,4.000,'','','',real_logprobs_hf_inference
3,"' p_1, ..., p_n and q_1, ..., q_n:\n\nD(p,q...'",'It seems like',14.000,4.000,'','','',real_logprobs_hf_inference
4,'log₂(p_i/q_i)\n\nYou can think of KL diver...','The Kull',14.000,4.000,'','','',real_logprobs_hf_inference
5,' a wonky distance measure between two di...','A wonky',14.000,4.000,'','','',real_logprobs_hf_inference
6,'s. But a better intuition goes like this...','But a better',14.000,4.000,'','','',real_logprobs_hf_inference
7,' keep sampling from the true distributio...','It seems like',14.000,4.000,'','','',real_logprobs_hf_inference
8,'vergence tells you how fast you can figu...','...are looking',14.000,4.000,'','','',real_logprobs_hf_inference
9,"""'re sampling from p and not some other d...""",'Error',14.000,4.000,'','','',real_logprobs_hf_inference
10,'n q. Small KL means that q is a pretty g...','Error',14.000,4.000,'','','',real_logprobs_hf_inference
11,'er pretending to be p.\n\nBefore we dive i...','Error',14.000,4.000,'','','',real_logprobs_hf_inference
12,"""t's refresh on Bayes' theorem—it's how y...""",'Error',14.000,4.000,'','','',real_logprobs_hf_inference
13,'your beliefs when you get new info. Exam...','Error',14.000,4.000,'','','',real_logprobs_hf_inference
14,'e got a coin that might be rigged. To ke...','Error',14.000,4.000,'','','',real_logprobs_hf_inference
15,"""le, let's say there are only two options...""",'Error',14.000,4.000,'','','',real_logprobs_hf_inference
16,"""her fair (50/50 for heads/tails) or it's...""",'Error',14.000,4.000,'','','',real_logprobs_hf_inference
17,'ward tails (25/75 for heads/tails).\n\nTo ...','Error',14.000,4.000,'','','',real_logprobs_hf_inference
18,' you need a starting guess (a prior) abo...','Error',14.000,4.000,'','','',real_logprobs_hf_inference
19,"""t is. Let's say you think there's a 2/3 ...""",'Error',14.000,4.000,'','','',real_logprobs_hf_inference
20,"""s fair and 1/3 chance it's biased. You f...""",'Error',14.000,4.000,'','','',real_logprobs_hf_inference
21,'in—Heads! This is evidence for the hypot...','Error',14.000,4.000,'','','',real_logprobs_hf_inference
22,' the coin is fair since heads are more l...','Error',14.000,4.000,'','','',real_logprobs_hf_inference
23,""" a fair coin.\n\nBayes' rule calculates th...""",'Error',14.000,4.000,'','','',real_logprobs_hf_inference
24,"""ability (the posterior) that it's fair. ...""",'Error',14.000,4.000,'','','',real_logprobs_hf_inference
25,'rd way to write the rule goes like this:...','Error',14.000,4.000,'','','',real_logprobs_hf_inference
26,' heads) = P(heads | fair) · P(fair) / P(...','Error',14.000,4.000,'','','',real_logprobs_hf_inference
27,'is is no rocket science — if you multipl...','Error',14.000,4.000,'','','',real_logprobs_hf_inference
28,"'es by P(heads), both sides express the q...'",'Error',14.000,4.000,'','','',real_logprobs_hf_inference
29,'fair AND heads) using conditional probab...','Error',14.000,4.000,'','','',real_logprobs_hf_inference
30,"""I like to think about Bayes' rule a bit ...""",'Error',14.000,4.000,'','','',real_logprobs_hf_inference
31,'y:\n\nPosterior odds = Prior odds × Likeli...','A great start',14.000,4.000,'','','',real_logprobs_hf_inference
32,'\n\nThis formula is just another way of wr...','...the equation',14.000,4.000,'','','',real_logprobs_hf_inference
33,""" the Bayes' rule. To understand the mess...""",'It seems like',14.000,4.000,'','','',real_logprobs_hf_inference
34,"""s version, let's think in odds instead o...""",'Thinking in',14.000,4.000,'','','',real_logprobs_hf_inference
35,"'ities. Gamblers love this—instead of ""1/...'","'f winning,""'",14.000,4.000,'','','',real_logprobs_hf_inference
36,"'f this, 2/3 chance of that,"" they say ""o...'","'If this,'",14.000,4.000,'','','',real_logprobs_hf_inference
