Position,Context,Actual_Token,Actual_Probability,Surprisal_Bits,Rank_in_Top10,Top1_Token,Top1_Prob,Top2_Token,Top2_Prob,Top3_Token,Top3_Prob,Top4_Token,Top4_Prob,Top5_Token,Top5_Prob,Top6_Token,Top6_Prob,Top7_Token,Top7_Prob,Top8_Token,Top8_Prob,Top9_Token,Top9_Prob,Top10_Token,Top10_Prob
0,K,'L',0.001593,9.294,not_in_top10,'.',0.065416,'\n',0.031063,"','",0.028132,'-',0.016405,' and',0.014635,' of',0.007780,' to',0.007676,':',0.007599,' in',0.006776,' (',0.006548
1,KL,' divergence',0.000001,19.636,not_in_top10,'-',0.056078,')',0.040166,"','",0.039607,'.',0.035156,':',0.019826,'\n',0.018936,'X',0.013940,' is',0.013488,"""'s""",0.012553,'_',0.012298
2,KL divergence,' measures',0.000071,13.790,not_in_top10,"','",0.086581,' from',0.082331,'.',0.070117,' is',0.069648,' in',0.068693,' between',0.058653,' of',0.055912,' and',0.032694,' (',0.029080,' was',0.027859
3,KL divergence measures,' how',0.008165,6.936,not_in_top10,' the',0.306275,'.',0.040770,' are',0.039134,"','",0.037026,' a',0.028506,' (',0.025043,' for',0.018418,' were',0.018292,' of',0.015448,' and',0.014701
4,KL divergence measures how,' well',0.048225,4.374,5,' much',0.243336,' many',0.070684,' the',0.060566,' long',0.048490,' well',0.048225,' far',0.043768,' fast',0.035315,' quickly',0.035083,' strongly',0.025375,' closely',0.023994
5,KL divergence measures how well,' a',0.180780,2.468,2,' the',0.283518,' a',0.180780,' different',0.043415,' each',0.042917,' an',0.022550,' two',0.022422,' you',0.020875,' one',0.020132,'-',0.012547,' your',0.007911
6,KL divergence measures how well a,' distribution',0.001035,9.916,not_in_top10,' given',0.067260,' person',0.038520,' species',0.037200,' particular',0.026492,' population',0.024634,' region',0.020547,' single',0.017908,' gene',0.016062,' group',0.014443,' country',0.011963
7,KL divergence measures how well a distribution,' p',0.000252,11.953,not_in_top10,' of',0.486730,' is',0.125154,' has',0.023084,' can',0.019016,' with',0.016580,' (',0.015793,'al',0.014243,' evolves',0.009850,' in',0.008373,"""'s""",0.008072
8,KL divergence measures how well a distribution p,' is',0.213266,2.229,1,' is',0.213266,' (',0.068614,'-',0.059498,'(',0.038574,' of',0.024629,' >',0.018762,' <',0.015284,' =',0.014524,"','",0.013868,' for',0.013618
9,L divergence measures how well a distribution p is,' fitted',0.001796,9.121,not_in_top10,' distributed',0.077907,' related',0.033978,' correlated',0.025264,' affected',0.023595,' in',0.021848,' connected',0.014680,' symm',0.013637,' at',0.012427,' expected',0.011925,' close',0.010769
