Position,Context,Actual_Token,Actual_Probability,Surprisal_Bits,Rank_in_Top10,Top1_Token,Top1_Prob,Top2_Token,Top2_Prob,Top3_Token,Top3_Prob,Top4_Token,Top4_Prob,Top5_Token,Top5_Prob,Top6_Token,Top6_Prob,Top7_Token,Top7_Prob,Top8_Token,Top8_Prob,Top9_Token,Top9_Prob,Top10_Token,Top10_Prob
0,L,'orem',0.000009,16.710,not_in_top10,'.',0.063731,"','",0.026846,'\n',0.023948,'-',0.019845,' and',0.011341,':',0.008623,"""'s""",0.007517,'/',0.006692,' of',0.006217,')',0.006059
1,Lorem,' ',0.309024,1.694,1,' ',0.309024,' d',0.051894,' Ips',0.020024,' n',0.016563,' m',0.016262,' x',0.014965,' qu',0.014920,' c',0.014101,' (',0.011163,'\n',0.010714
2,Lorem ,'ips',0.898834,0.154,1,'ips',0.898834,'ix',0.012989,'________',0.005992,'ā',0.005754,'�',0.005314,'\xa0',0.004524,'ich',0.003731,'ers',0.003094,'ét',0.002843,'ia',0.002274
3,Lorem ips,'um',0.851249,0.232,1,'um',0.851249,'a',0.089697,'am',0.014378,'ius',0.008109,'is',0.005738,'orum',0.005153,'i',0.004536,'ibus',0.002384,'ima',0.002107,'os',0.001671
4,Lorem ipsum,' d',0.030583,5.031,3,' est',0.064376,"','",0.063574,' d',0.030583,'.',0.019111,' et',0.018961,' ad',0.018248,' qu',0.016623,' ',0.014945,' n',0.013859,' v',0.010555
5,Lorem ipsum d,'olor',0.685561,0.545,1,'olor',0.685561,'um',0.036892,'icit',0.034174,'ix',0.032725,'ic',0.030650,'ol',0.026572,'uc',0.013545,'as',0.003989,'if',0.003652,'ul',0.003412
6,Lorem ipsum dolor,' sit',0.996519,0.005,1,' sit',0.996519,' sat',0.001145,' ',0.000146,' con',0.000138,' m',0.000093,' e',0.000074,' est',0.000065,' mag',0.000059,' v',0.000058,' ab',0.000054
7,Lorem ipsum dolor sit,' am',0.996816,0.005,1,' am',0.996816,"','",0.001474,' d',0.000462,' id',0.000163,':',0.000131,' pro',0.000124,'.',0.000123,' m',0.000121,' ad',0.000099,' in',0.000066
8,Lorem ipsum dolor sit am,'et',0.999230,0.001,1,'et',0.999230,'at',0.000468,'ore',0.000077,'ar',0.000056,'it',0.000056,'ic',0.000013,'st',0.000008,'iat',0.000007,'e',0.000005,'icit',0.000004
9,Lorem ipsum dolor sit amet,"','",0.864892,0.209,1,"','",0.864892,'.',0.043810,"'.""'",0.012572,';',0.010100,' d',0.006230,':',0.004765,"',""'",0.004174,'\n',0.002622,' com',0.002435,' in',0.002422
10,"Lorem ipsum dolor sit amet,",' con',0.995437,0.007,1,' con',0.995437,' sed',0.003428,' d',0.000201,' I',0.000176,' m',0.000082,' e',0.000058,'\n',0.000054,' el',0.000045,' ma',0.000029,' in',0.000028
11,"Lorem ipsum dolor sit amet, con",'sect',0.999993,0.000,1,'sect',0.999993,'ge',0.000004,'termin',0.000001,'i',0.000000,'se',0.000000,'ect',0.000000,'in',0.000000,'st',0.000000,'ial',0.000000,' I',0.000000
12,"Lorem ipsum dolor sit amet, consect",'et',0.997319,0.004,1,'et',0.997319,'i',0.000590,'id',0.000319,'ire',0.000236,'e',0.000166,'ue',0.000155,'en',0.000144,'u',0.000116,'ere',0.000076,'ent',0.000065
13,"Lorem ipsum dolor sit amet, consectet",'ur',0.995020,0.007,1,'ur',0.995020,'u',0.002148,'ud',0.000718,'unt',0.000535,'uer',0.000452,'uri',0.000219,'ura',0.000163,'udo',0.000121,'ut',0.000083,'urn',0.000058
14,"Lorem ipsum dolor sit amet, consectetur",' adip',0.999743,0.000,1,' adip',0.999743,' e',0.000055,' el',0.000027,' d',0.000021,"','",0.000020,' m',0.000018,' mor',0.000012,' id',0.000012,' con',0.000009,' qu',0.000006
15,"Lorem ipsum dolor sit amet, consectetur adip",'is',0.997308,0.004,1,'is',0.997308,'on',0.001014,'ier',0.000221,'ique',0.000120,'ine',0.000110,'itis',0.000106,'ium',0.000100,'ius',0.000068,'ia',0.000058,'iet',0.000055
16,"Lorem ipsum dolor sit amet, consectetur adipis",'cing',0.679453,0.558,1,'cing',0.679453,'icing',0.318294,'ce',0.001240,'unt',0.000287,'cent',0.000144,'it',0.000072,'ci',0.000044,'ces',0.000041,'ic',0.000031,'ip',0.000028
17,"Lorem ipsum dolor sit amet, consectetur adipiscing",' el',0.992456,0.011,1,' el',0.992456,' adip',0.001967,"','",0.000524,' l',0.000463,' con',0.000391,' am',0.000376,' lo',0.000375,'am',0.000353,'.',0.000225,' et',0.000182
18,"em ipsum dolor sit amet, consectetur adipiscing el",'it',0.996957,0.004,1,'it',0.996957,'at',0.000656,'iqu',0.000543,'io',0.000254,'ic',0.000236,'iss',0.000166,'ix',0.000146,'in',0.000142,'um',0.000127,'ito',0.000114
19," ipsum dolor sit amet, consectetur adipiscing elit","','",0.472338,1.082,1,"','",0.472338,'.',0.169784,' qu',0.018105,';',0.013764,' con',0.009232,"'.""'",0.008735,' ut',0.008303,' in',0.007515,' d',0.007430,' sit',0.007031
20,"ipsum dolor sit amet, consectetur adipiscing elit,",' sed',0.585797,0.772,1,' sed',0.585797,' con',0.229555,' ut',0.016656,' qu',0.014834,' d',0.010825,' el',0.010092,' et',0.009823,' sem',0.007332,' adip',0.005361,' s',0.004900
21,"m dolor sit amet, consectetur adipiscing elit, sed",' do',0.028623,5.127,8,' d',0.091666,' sit',0.087782,' e',0.059654,' am',0.048705,' ut',0.044420,' ad',0.037796,' qu',0.029116,' do',0.028623,' sed',0.020040,' in',0.019691
22,"olor sit amet, consectetur adipiscing elit, sed do",' e',0.110186,3.182,2,'le',0.150041,' e',0.110186,'ce',0.094207,'c',0.066292,' c',0.021647,' est',0.017763,'ch',0.015080,'ppel',0.013784,'cl',0.011708,'bat',0.010352
23,"or sit amet, consectetur adipiscing elit, sed do e",'ius',0.842165,0.248,1,'ius',0.842165,'adem',0.030025,'get',0.027878,'u',0.017149,'re',0.010493,'am',0.010320,'um',0.009696,'is',0.007005,'j',0.005092,'orum',0.004478
24,"sit amet, consectetur adipiscing elit, sed do eius",'mod',0.657545,0.605,1,'mod',0.657545,"','",0.026579,' adip',0.015892,' et',0.015732,'m',0.015674,' m',0.010355,'se',0.006754,'que',0.006473,'.',0.005856,' mod',0.004945
25," amet, consectetur adipiscing elit, sed do eiusmod",' tempor',0.946830,0.079,1,' tempor',0.946830,' et',0.006347,'o',0.003450,' ut',0.002079,' am',0.001442,' id',0.001170,' es',0.001154,' ex',0.000976,' e',0.000966,'um',0.000807
26,"consectetur adipiscing elit, sed do eiusmod tempor",' inc',0.010593,6.561,not_in_top10,'is',0.188809,"','",0.085146,'um',0.082914,'ibus',0.066182,' am',0.049918,' a',0.042553,' et',0.036991,'am',0.033426,'.',0.023841,' ad',0.023539
27,"ectetur adipiscing elit, sed do eiusmod tempor inc",'id',0.660634,0.598,1,'id',0.660634,'ip',0.049845,'ont',0.048149,'ogn',0.038123,'ul',0.026569,'op',0.023129,'ur',0.010285,'ond',0.009811,'isi',0.009521,'ant',0.008669
28,"tetur adipiscing elit, sed do eiusmod tempor incid",'id',0.813647,0.298,1,'id',0.813647,'unt',0.087258,'ens',0.027167,'ula',0.010161,'ul',0.007170,'enda',0.005788,'ids',0.004995,'ulum',0.003518,'eret',0.003153,'iat',0.002905
29,"tur adipiscing elit, sed do eiusmod tempor incidid",'unt',0.903172,0.147,1,'unt',0.903172,'id',0.030587,'it',0.014352,'atur',0.009221,'um',0.004028,'am',0.003933,'iss',0.003128,'ur',0.002072,'amus',0.001300,'ul',0.001170
30," adipiscing elit, sed do eiusmod tempor incididunt",' ut',0.034851,4.843,5,"','",0.226752,'.',0.112100,' in',0.055005,' ad',0.040559,' ut',0.034851,';',0.019817,'ur',0.018739,' sit',0.018645,' et',0.017439,' e',0.013054
31,"ipiscing elit, sed do eiusmod tempor incididunt ut",' lab',0.030366,5.041,5,' e',0.061887,' d',0.043068,"','",0.038353,' ut',0.032398,' lab',0.030366,' in',0.029843,' non',0.015348,' vel',0.013899,' sit',0.012876,' et',0.010711
32,"cing elit, sed do eiusmod tempor incididunt ut lab",'ore',0.918996,0.122,1,'ore',0.918996,'ores',0.041947,'orem',0.019828,'ored',0.005783,'ia',0.002189,'ile',0.001395,'e',0.000753,'ors',0.000693,'ios',0.000580,'ell',0.000546
33,"g elit, sed do eiusmod tempor incididunt ut labore",' et',0.104881,3.253,1,' et',0.104881,"','",0.096413,'.',0.046350,' vel',0.042968,' e',0.040087,' mag',0.024911,' qu',0.021212,' non',0.017055,' d',0.016118,' al',0.014706
34,"lit, sed do eiusmod tempor incididunt ut labore et",' d',0.040764,4.617,3,' in',0.087441,'iam',0.085855,' d',0.040764,' al',0.019243,' e',0.017985,' non',0.017676,' lab',0.016297,' ex',0.015507,' ad',0.014441,' ut',0.012233
35,"t, sed do eiusmod tempor incididunt ut labore et d",'ol',0.718159,0.478,1,'ol',0.718159,'olor',0.228492,'it',0.006778,'ic',0.006597,'ix',0.005977,'um',0.005206,'ul',0.003830,'uc',0.003394,'ut',0.001959,'icit',0.001243
36, sed do eiusmod tempor incididunt ut labore et dol,'ore',0.791723,0.337,1,'ore',0.791723,'ores',0.166590,'orem',0.012871,'oris',0.003766,'or',0.003035,'ors',0.002021,'ce',0.001794,'ig',0.001383,'go',0.001157,'us',0.000930
37,d do eiusmod tempor incididunt ut labore et dolore,' mag',0.030218,5.048,3,"','",0.142913,'.',0.077759,' mag',0.030218,' in',0.025060,' e',0.023846,' vel',0.020245,' qu',0.018814,' d',0.014581,' et',0.014556,' al',0.013411
38, eiusmod tempor incididunt ut labore et dolore mag,'na',0.796748,0.328,1,'na',0.796748,'ist',0.044519,'is',0.039576,'no',0.039483,'ni',0.017052,'ister',0.009669,'est',0.008399,'ico',0.003069,'num',0.002780,'ique',0.002650
39,iusmod tempor incididunt ut labore et dolore magna,' al',0.020757,5.590,6,"','",0.082689,'e',0.052576,'.',0.048215,' mag',0.026014,' et',0.024163,' al',0.020757,' non',0.020223,' cum',0.018885,' e',0.017864,' ill',0.011715
40,mod tempor incididunt ut labore et dolore magna al,'iqu',0.986788,0.019,1,'iqu',0.986788,'iquid',0.001666,'ic',0.001588,'io',0.001306,'ius',0.001066,'ba',0.000993,'ium',0.000897,'ia',0.000758,'iter',0.000510,'o',0.000302
41, tempor incididunt ut labore et dolore magna aliqu,'a',0.323827,1.627,1,'a',0.323827,'am',0.176471,'ando',0.173447,'is',0.075771,'od',0.052848,'em',0.017069,'ipp',0.016720,'o',0.015688,'i',0.008770,'ita',0.008496
42,tempor incididunt ut labore et dolore magna aliqua,'.',0.101438,3.301,2,"','",0.107563,'.',0.101438,' et',0.024292,' e',0.019294,' non',0.019019,' s',0.016772,' d',0.015803,' vel',0.015360,':',0.014500,' qu',0.012612
43,empor incididunt ut labore et dolore magna aliqua.,' Ut',0.024691,5.340,7,'\n',0.168568,' Et',0.038185,' N',0.034888,' Qu',0.033185,' Sed',0.031390,' Cum',0.025648,' Ut',0.024691,' D',0.023830,'\n\n',0.021416,' E',0.021180
44,or incididunt ut labore et dolore magna aliqua. Ut,' en',0.018155,5.784,6,' d',0.062691,' in',0.039600,' qu',0.034283,' si',0.026082,' ut',0.021012,' en',0.018155,' s',0.017074,' e',0.015887,' m',0.014881,' ne',0.013902
