Position,Context,Actual_Token,Actual_Probability,Surprisal_Bits,Rank_in_Top10,Top1_Token,Top1_Prob,Top2_Token,Top2_Prob,Top3_Token,Top3_Prob,Top4_Token,Top4_Prob,Top5_Token,Top5_Prob,Top6_Token,Top6_Prob,Top7_Token,Top7_Prob,Top8_Token,Top8_Prob,Top9_Token,Top9_Prob,Top10_Token,Top10_Prob
0,3,'.',0.101597,3.299,1,'.',0.101597,"','",0.052727,'\n',0.040076,'-',0.027603,':',0.017171,' and',0.015042,')',0.011240,' of',0.010800,' to',0.010643,'/',0.010505
1,3.,'14',0.004348,7.845,not_in_top10,'0',0.073911,'5',0.061297,'1',0.055091,'2',0.041772,'3',0.041733,'4',0.034898,'6',0.028330,' The',0.023417,'\n',0.021783,'7',0.021176
2,3.14,'159',0.001068,9.870,not_in_top10,'.',0.169576,')',0.043847,'\n',0.032284,'-',0.031492,"','",0.031121,'%',0.023061,' (',0.021815,' -',0.016199,' 1',0.014102,']',0.012913
3,3.14159,'265',0.071094,3.814,1,'265',0.071094,'.',0.032917,'28',0.029545,' -',0.028567,')',0.027498,']',0.024102,'29',0.023564,'33',0.020467,'-',0.018239,'35',0.018105
4,3.14159265,'35',0.116282,3.104,1,'35',0.116282,'29',0.066053,'64',0.055479,'36',0.054021,'37',0.035209,'28',0.033141,'26',0.029159,'67',0.026539,'33',0.024354,'34',0.023932
5,3.1415926535,'89',0.045855,4.447,1,'89',0.045855,'.',0.026205,'67',0.024731,'68',0.019471,'86',0.015765,'87',0.015622,'79',0.014582,'78',0.013030,'97',0.011710,'36',0.010995
6,3.141592653589,'793',0.585713,0.772,1,'793',0.585713,'2',0.013912,'79',0.010944,'1',0.008614,'76',0.008247,'4',0.008058,'68',0.006880,'7',0.006522,'78',0.005240,'70',0.005083
7,3.141592653589793,'238',0.003091,8.338,not_in_top10,'\n',0.062905,'.',0.044651,']',0.041669,"'"",""'",0.037765,' 1',0.034629,'|',0.033287,'/',0.033109,"','",0.030846,')',0.021705,' (',0.021083
8,3.141592653589793238,'46',0.011934,6.389,8,'.',0.068721,'45',0.019062,'37',0.016698,'68',0.015387,'\n',0.014257,'75',0.012807,'39',0.012436,'46',0.011934,'38',0.011920,'69',0.011881
9,3.14159265358979323846,'264',0.007007,7.157,not_in_top10,'15',0.034403,'\n',0.028824,'25',0.027921,'22',0.023918,'33',0.021242,'30',0.020870,"'"",""'",0.019363,'36',0.019171,'37',0.017557,'19',0.017424
10,3.14159265358979323846264,'33',0.010262,6.607,not_in_top10,'.',0.023306,'64',0.022235,'16',0.018036,'35',0.017777,'15',0.016777,'14',0.015977,'22',0.015896,'37',0.015574,'28',0.014373,'75',0.013566
