Position,Context,Actual_Token,Actual_Probability,Surprisal_Bits,Rank_in_Top10,Top1_Token,Top1_Prob,Top2_Token,Top2_Prob,Top3_Token,Top3_Prob,Top4_Token,Top4_Prob,Top5_Token,Top5_Prob,Top6_Token,Top6_Prob,Top7_Token,Top7_Prob,Top8_Token,Top8_Prob,Top9_Token,Top9_Prob,Top10_Token,Top10_Prob
0,ABC,'DEF',0.000043,14.504,not_in_top10,'.',0.055664,"','",0.053530,'\n',0.042940,' and',0.019143,'-',0.015717,"""'s""",0.014853,':',0.013242,' is',0.011739,' (',0.010788,' of',0.010655
1,ABCDEF,'GH',0.336993,1.569,1,'GH',0.336993,'.',0.092818,'-',0.034169,'\n',0.032942,'ENSE',0.025909,')',0.016245,"','",0.015318,':',0.012188,'_',0.011064,"'""'",0.010803
2,ABCDEFGH,'IJ',0.883638,0.178,1,'IJ',0.883638,'J',0.011361,'AN',0.008363,'W',0.007331,'2',0.006693,'1',0.004030,'I',0.003398,'Q',0.003189,'ERE',0.002985,'AT',0.002589
3,ABCDEFGHIJ,'K',0.987859,0.018,1,'K',0.987859,'.',0.002233,'G',0.001428,'ST',0.001385,'AN',0.000873,'KR',0.000650,'H',0.000604,' K',0.000414,'U',0.000387,'NK',0.000363
4,ABCDEFGHIJK,'LM',0.998026,0.003,1,'LM',0.998026,'.',0.000551,'L',0.000234,'_',0.000115,'NS',0.000080,'LS',0.000077,"','",0.000071,'G',0.000065,'\n',0.000037,'N',0.000032
5,ABCDEFGHIJKLM,'N',0.988024,0.017,1,'N',0.988024,'NP',0.008327,' N',0.001876,'OP',0.000505,'Q',0.000244,'NA',0.000195,'AP',0.000112,'FT',0.000096,'J',0.000087,'n',0.000054
6,ABCDEFGHIJKLMN,'OP',0.997358,0.004,1,'OP',0.997358,'ON',0.001978,'AP',0.000061,'ONS',0.000057,'ST',0.000049,'_',0.000042,'AM',0.000032,'.',0.000032,'FO',0.000031,'Q',0.000025
7,ABCDEFGHIJKLMNOP,'Q',0.996202,0.005,1,'Q',0.996202,'IA',0.000617,'H',0.000543,'QL',0.000388,'HS',0.000300,'R',0.000241,'P',0.000225,'J',0.000184,'q',0.000150,'TH',0.000129
8,ABCDEFGHIJKLMNOPQ,'R',0.999359,0.001,1,'R',0.999359,'r',0.000266,' R',0.000175,'rus',0.000081,'J',0.000030,'Rs',0.000014,'roma',0.000008,'S',0.000007,' r',0.000004,'RS',0.000004
9,ABCDEFGHIJKLMNOPQR,'ST',0.992928,0.010,1,'ST',0.992928,'st',0.002298,'J',0.001017,' IS',0.000479,'SA',0.000370,'_',0.000258,' J',0.000237,'OP',0.000164,'EST',0.000156,'j',0.000124
10,ABCDEFGHIJKLMNOPQRST,'U',0.984189,0.023,1,'U',0.984189,'uv',0.011995,'UC',0.002691,'UU',0.000232,'V',0.000204,'VW',0.000193,'AG',0.000039,'P',0.000039,'IR',0.000029,'UD',0.000023
11,ABCDEFGHIJKLMNOPQRSTU,'VW',0.999260,0.001,1,'VW',0.999260,'9',0.000128,'1',0.000111,'ART',0.000051,'8',0.000044,'3',0.000041,'Y',0.000037,'4',0.000016,'.',0.000015,'10',0.000012
12,ABCDEFGHIJKLMNOPQRSTUVW,'XY',0.999839,0.000,1,'XY',0.999839,'Y',0.000066,'uv',0.000016,'3',0.000013,'V',0.000006,'\n',0.000006,'Q',0.000005,':',0.000004,'m',0.000003,'GY',0.000003
13,ABCDEFGHIJKLMNOPQRSTUVWXY,'Z',0.981448,0.027,1,'Z',0.981448,'z',0.006669,'ZZ',0.002048,' Z',0.001306,'GY',0.001079,'Q',0.001001,'3',0.000737,'abc',0.000576,'J',0.000526,'&',0.000397
14,ABCDEFGHIJKLMNOPQRSTUVWXYZ,'ABC',0.004241,7.881,not_in_top10,"""')""",0.101763,'\n',0.090881,"""'""",0.087256,')',0.057882,'abc',0.044329,' 1',0.034170,"'"")'",0.031268,'.',0.030793,"'""'",0.027409,"'"",""'",0.018720
15,ABCDEFGHIJKLMNOPQRSTUVWXYZABC,'DEF',0.962733,0.055,1,'DEF',0.962733,'-',0.002506,'D',0.002211,'_',0.002210,'\n',0.001734,'DE',0.001096,')',0.000999,'BY',0.000885,'U',0.000720,'.',0.000707
16,ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEF,'GH',0.990443,0.014,1,'GH',0.990443,'G',0.004544,'\n',0.000424,'H',0.000285,'GN',0.000238,'GA',0.000153,'.',0.000125,'GC',0.000106,'GR',0.000102,'GI',0.000094
17,ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGH,'IJ',0.999365,0.001,1,'IJ',0.999365,'J',0.000287,'I',0.000139,'IA',0.000029,'ij',0.000020,'IK',0.000017,'IO',0.000016,'IR',0.000008,'IAN',0.000008,'JJ',0.000006
18,ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJ,'K',0.997992,0.003,1,'K',0.997992,'k',0.000208,'L',0.000194,'KK',0.000169,'G',0.000120,'KR',0.000116,'KA',0.000095,'KE',0.000078,'J',0.000069,'AK',0.000057
19,ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJK,'LM',0.999612,0.001,1,'LM',0.999612,'L',0.000137,'LS',0.000048,'ML',0.000023,'M',0.000019,'LA',0.000018,'LT',0.000006,'DL',0.000005,'LU',0.000005,'NT',0.000005
20,ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLM,'N',0.998413,0.002,1,'N',0.998413,'NP',0.000520,'NS',0.000226,'NN',0.000165,'NE',0.000095,'NA',0.000075,'n',0.000073,'NH',0.000057,'ND',0.000036,'NT',0.000031
21,ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMN,'OP',0.999689,0.000,1,'OP',0.999689,'op',0.000039,'OC',0.000028,'OM',0.000022,'O',0.000021,'OPS',0.000016,'IP',0.000012,'PO',0.000012,'\n',0.000012,' OP',0.000009
22,ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOP,'Q',0.996233,0.005,1,'Q',0.996233,'R',0.001816,'QU',0.000342,'H',0.000123,'q',0.000106,'W',0.000096,'J',0.000076,'I',0.000066,'T',0.000061,'S',0.000055
23,ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQ,'R',0.998897,0.002,1,'R',0.998897,'S',0.000251,'RL',0.000077,'RS',0.000060,'Q',0.000060,'C',0.000041,'RO',0.000035,'P',0.000029,'r',0.000029,'RI',0.000028
24,ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQR,'ST',0.995588,0.006,1,'ST',0.995588,'St',0.000381,'SC',0.000269,' ST',0.000265,'SL',0.000248,'STR',0.000182,'st',0.000142,'V',0.000141,'\n',0.000129,'SP',0.000119
25,ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRST,'U',0.997082,0.004,1,'U',0.997082,'UU',0.000270,'UR',0.000145,'UB',0.000142,'V',0.000123,'UP',0.000116,'UM',0.000106,'u',0.000106,'UD',0.000104,'UG',0.000103
26,ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTU,'VW',0.999581,0.001,1,'VW',0.999581,'XY',0.000174,'W',0.000050,'WM',0.000035,'V',0.000029,'WD',0.000013,'VAL',0.000012,'Y',0.000011,'WT',0.000007,'WE',0.000006
27,ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVW,'XY',0.998825,0.002,1,'XY',0.998825,'Y',0.000322,' XY',0.000242,'VW',0.000159,'X',0.000114,'Z',0.000064,'ZZ',0.000043,'XX',0.000021,'xy',0.000021,'XXXX',0.000014
28,BCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXY,'Z',0.997466,0.004,1,'Z',0.997466,'ZZ',0.000477,'X',0.000240,' Z',0.000191,'J',0.000173,'\n',0.000148,'W',0.000103,'ZE',0.000077,'z',0.000072,'N',0.000054
29,CDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ,'ABC',0.041687,4.584,2,'\n',0.483781,'ABC',0.041687,'<|endoftext|>',0.040450,"'""'",0.031079,'\n\n',0.024615,' ABC',0.012477,' |',0.011727,')',0.010004,"'"",""'",0.008337,' [',0.007715
30,FGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABC,'DEF',0.999611,0.001,1,'DEF',0.999611,'DF',0.000064,'DE',0.000043,'\n',0.000023,'D',0.000018,'STR',0.000012,' DEF',0.000012,'F',0.000010,'WR',0.000008,'Def',0.000007
31,IJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEF,'GH',0.998942,0.002,1,'GH',0.998942,'G',0.000354,'H',0.000258,'HE',0.000033,'GF',0.000029,'HR',0.000020,'MH',0.000019,'F',0.000017,'GE',0.000015,'\n',0.000012
32,KLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGH,'IJ',0.999744,0.000,1,'IJ',0.999744,'J',0.000155,'I',0.000019,'IK',0.000013,'IA',0.000012,'JJ',0.000007,'IR',0.000003,'IZ',0.000003,'IS',0.000003,'IAN',0.000003
33,MNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJ,'K',0.999114,0.001,1,'K',0.999114,'k',0.000187,'L',0.000096,'J',0.000059,'KR',0.000046,'H',0.000033,'KK',0.000032,'M',0.000028,'AK',0.000027,'KE',0.000026
34,NOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJK,'LM',0.999879,0.000,1,'LM',0.999879,'L',0.000037,'M',0.000011,'ML',0.000009,'LS',0.000008,'LT',0.000004,'LA',0.000004,'LB',0.000003,'DL',0.000003,' LM',0.000003
35,PQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLM,'N',0.998233,0.003,1,'N',0.998233,'NP',0.000478,'n',0.000156,'NS',0.000151,'NE',0.000118,'NN',0.000101,'NA',0.000094,'M',0.000053,'ND',0.000044,'NH',0.000040
36,QRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMN,'OP',0.999566,0.001,1,'OP',0.999566,'op',0.000044,'OC',0.000038,'OM',0.000030,'O',0.000026,'IP',0.000023,'PO',0.000014,'OL',0.000013,'OB',0.000013,'OPS',0.000013
37,STUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOP,'Q',0.994877,0.007,1,'Q',0.994877,'R',0.002093,' Q',0.000198,'H',0.000183,'W',0.000178,'T',0.000164,'q',0.000162,'I',0.000119,'B',0.000115,'\n',0.000105
38,TUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQ,'R',0.996389,0.005,1,'R',0.996389,'S',0.000570,'Q',0.000564,'T',0.000196,'P',0.000180,'C',0.000176,'D',0.000149,'L',0.000110,'W',0.000086,'F',0.000083
39,UVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQR,'ST',0.995669,0.006,1,'ST',0.995669,' ST',0.000401,'SC',0.000293,'STR',0.000230,'V',0.000184,'\n',0.000168,'St',0.000166,'st',0.000157,'SL',0.000127,'SP',0.000090
40,WXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRST,'U',0.998160,0.003,1,'U',0.998160,'V',0.000146,'M',0.000098,'u',0.000079,'W',0.000076,'UU',0.000071,'UB',0.000070,'A',0.000063,'S',0.000056,'UA',0.000055
41,XYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTU,'VW',0.999745,0.000,1,'VW',0.999745,'XY',0.000046,'V',0.000043,'W',0.000037,'WM',0.000022,'WC',0.000012,'VA',0.000008,'VC',0.000006,'WE',0.000006,'WD',0.000005
42,ZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVW,'XY',0.998054,0.003,1,'XY',0.998054,'VW',0.000990,'Y',0.000291,'X',0.000114,'Z',0.000091,' XY',0.000088,'ZZ',0.000073,'XXXX',0.000022,'V',0.000021,'ZX',0.000019
43,BCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXY,'Z',0.997361,0.004,1,'Z',0.997361,'ZZ',0.000331,'X',0.000270,'J',0.000266,'W',0.000171,'\n',0.000110,'Y',0.000092,'N',0.000088,'z',0.000087,' Z',0.000066
44,CDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ,'ABC',0.530752,0.914,1,'ABC',0.530752,'\n',0.062152,' ABC',0.048362,'abc',0.022576,"'""'",0.021413,'<|endoftext|>',0.016392,'\n\n',0.009506,'DEF',0.007562,')',0.005169,'AB',0.004411
45,FGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABC,'DEF',0.999433,0.001,1,'DEF',0.999433,'DF',0.000175,'DE',0.000061,'F',0.000025,'\n',0.000019,'D',0.000018,'STR',0.000015,'WR',0.000008,'END',0.000007,'def',0.000007
46,IJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEF,'GH',0.998223,0.003,1,'GH',0.998223,'H',0.000599,'G',0.000389,'MH',0.000059,'HE',0.000056,'GF',0.000049,'HR',0.000039,'F',0.000031,'GE',0.000021,'GL',0.000017
